categories,dates,event_links,event_titles
"Accessible,Sports",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/wheelchair-basketball-open-gym-hosted-by-the-axis-project-wheelchair-basketball,Wheelchair Basketball Open Gym Hosted by the Axis Project Wheelchair Basketball
"Film,Free Summer Movies,Movies Under the StarsFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/movies-under-the-stars-cinema-paradiso-1989,Movies Under the Stars: Cinema Paradiso (1989)
"Fitness,Outdoor FitnessFree",09/13/2017,https://www.nycgovparks.org/events/2017/09/13/bryant-park-boot-camp,Bryant Park Boot Camp
"Accessible,Fitness,Outdoor Fitness,SeniorsFree",09/13/2017,https://www.nycgovparks.org/events/2017/09/13/outdoor-exercise-with-nancy-bruning,Outdoor Exercise with Nancy Bruning
"Nature,VolunteerFree",09/13/2017,https://www.nycgovparks.org/events/2017/09/13/farm-and-compost-volunteer-days,Farm and Compost Volunteer Days
"Volunteer,It's My ParkFree",09/13/2017,https://www.nycgovparks.org/events/2017/09/13/its-my-park-at-juniper-valley-park,It's My Park at Juniper Valley Park
"Accessible,Art,HistoryFree",09/13/2017,https://www.nycgovparks.org/events/2017/09/13/the-bronx-meets-east-africa,The Bronx Meets East Africa
"Accessible,TalksFree",09/13/2017,https://www.nycgovparks.org/events/2017/09/13/basic-sign-language,Basic Sign Language
"Education,ToursFree",09/13/2017,https://www.nycgovparks.org/events/2017/09/13/bryant-park-public-tours,Bryant Park Public Tours
"Education,Nature,History,ToursFree",09/13/2017,https://www.nycgovparks.org/events/2017/09/13/central-park-tour-midpark-welcome-tour,Central Park Tour: Mid-Park Welcome Tour
Arts & CraftsFree,09/13/2017,https://www.nycgovparks.org/events/2017/09/13/special-express-arts,Special Express Arts 1
"Arts & Crafts,SeniorsFree",09/13/2017,https://www.nycgovparks.org/events/2017/09/13/adults-le-petit-zen-art,Adults Le Petit Zen Art
"Education,Nature,Volunteer,WaterfrontFree",09/13/2017,https://www.nycgovparks.org/events/2017/09/13/stuy-cove-park-redesign-and-plant-giveaway,Stuy Cove Park Re-design and Plant Giveaway
"Arts & Crafts,Best for KidsFree",09/13/2017,https://www.nycgovparks.org/events/2017/09/13/recycle-to-art,Recycle to Art
NatureFree,09/13/2017,https://www.nycgovparks.org/events/2017/09/13/farm-open-hours,Farm Open Hours
